Program;Organization;Funding;Program Eligibility;Use of Funds;Area;Type of Fund;Targeted Applicants;Phone Number;Website;Zipcodes
Revolving Loan Fund - Sole Proprietorship;3CORE;$25,000 to $250,000;Businesses in Butte, Glenn, and Tehama counties;Working capital, building or land acquisition, business acquisition, business expansion or startup, furniture and fixtures, machinery and equipment, leasehold improvements, lines of credit;California (CA);Loan - Revolving Loan Fund;Not specified;(530) 893-8732;https://3coreedc.org/loan-program/;95914, 95916, 95917, 95926, 95928, 95938, 95939, 95941, 95942, 95943, 95948, 95951, 95954, 95963, 95965, 95966, 95920, 95930, 95968, 95969, 95973, 95974, 95988, 96021, 96022, 96035, 96055, 96029, 95978, 96059, 96061, 96063, 96080, 96092, 96074, 96075, 96090
Small Business Disaster Interruption Loan Program;3CORE;$10,000 to $100,000;Small businesses located in Butte, Glenn, and Tehama counties that have been affected by a federally declared disaster;Working capital;California (CA);Loan;Not specified;(530) 893-8732;https://3coreedc.org/small-business-disaster-interruption-loan-program/;95914, 95916, 95917, 95926, 95928, 95938, 95939, 95941, 95942, 95943, 95948, 95951, 95954, 95963, 95965, 95966, 95920, 95930, 95968, 95969, 95973, 95974, 95988, 96021, 96022, 96035, 96055, 96029, 95978, 96059, 96061, 96063, 96080, 96092, 96074, 96075, 96090
Revolving Loan Fund;Apalachee Regional Planning Council;$25,000 on average;Small businesses in Calhoun, Franklin, Gadsden, Gulf, Jackson, Jefferson, Leon, Liberty, or Wakulla counties;Working capital, fixed assets;Florida (FL);Loan - Revolving Loan Fund;Not specified;(850) 488-6211;https://www.arpc.org/revolving-loan-fund;32301, 32303, 32304, 32305, 32308, 32309, 32310, 32311, 32312, 32317, 32320, 32321, 32322, 32324, 32327, 32323, 32328, 32330, 32332, 32333, 32334, 32343, 32344, 32346, 32351, 32352, 32355, 32358, 32361, 32399, 32420, 32421, 32423, 32424, 32426, 32430, 32431, 32440, 32442, 32443, 32445, 32446, 32447, 32448, 32449, 32456, 32460, 32465, 32432
Regional Revolving Loan Fund Program;Benton-Franklin Council of Governments;$25,000 to $300,000;Small businesses;Gap financing;Washington (WA);Loan - Revolving Loan Fund;Not specified;(509) 943-9185;https://bfcog.us/loan-programs-overview/;98944, 99301, 99320, 99323, 99324, 99326, 99328, 99330, 99336, 99337, 99338, 99343, 99345, 99346, 99348, 99350, 99352, 99353, 99354, 99359, 99360, 99361, 99362, 99329, 99335, 99363
Bi-State Revolving Loan Fund ;Bi-State Regional Commission ;Up to $250,000;Startup and existing businesses in the industrial, light manufacturing, and service industries;Machinery and equipment, fixed assets, working capital;Iowa (IA);Loan - Revolving Loan Fund;Not specified;(563) 326-8643;https://bistateonline.org/2012-11-14-00-17-31/revolving-loan-fund-rlf-programs.html;52802, 52803, 52804, 52806, 52807, 52722, 52726, 52728, 52745, 52746, 52748, 52753, 52756, 52758, 52765, 52767, 52768, 52769, 52773, 52801
Bi-State Revolving Loan Fund ;Bi-State Regional Commission ;Up to $250,000;Startup and existing businesses in the industrial, light manufacturing, and service industries;Machinery and equipment, fixed assets, working capital;Illinois (IL);Loan - Revolving Loan Fund;Not specified;(309) 558-3605;https://bistateonline.org/2012-11-14-00-17-31/revolving-loan-fund-rlf-programs.html;61239, 61242, 61244, 61256, 61257, 61259, 61264, 61265, 61275, 61236, 61278, 61282, 61284, 61201, 61232
Mercer-Muscatine County Revolving Loan Fund Program ;Bi-State Regional Commission ;Up to $250,000;"Businesses currently located in or planning to expand in Mercer County, Illinois, and Muscatine County in Iowa, in the industrial, light manufacturing and service industries; startup businesses also eligible for financing";Machinery and equipment, fixed assets, working capital;Illinois (IL);Loan - Revolving Loan Fund;Not specified;(309) 756-9978;https://bistateonline.org/2012-11-14-00-17-31/revolving-loan-fund-rlf-programs.html;61412, 61442, 61260, 61263, 61272, 61276, 61279, 61281, 61231, 61465, 61466, 61476, 61486
Mercer-Muscatine County Revolving Loan Fund Program ;Bi-State Regional Commission ;Up to $250,000;"Businesses currently located in or planning to expand in Mercer County, Illinois, and Muscatine County in Iowa, in the industrial, light manufacturing and service industries; startup businesses also eligible for financing";Machinery and equipment, fixed assets, working capital;Iowa (IA);Loan - Revolving Loan Fund;Not specified;(563) 263-8895;https://bistateonline.org/2012-11-14-00-17-31/revolving-loan-fund-rlf-programs.html;52720, 52739, 52749, 52754, 52760, 52761, 52766, 52776
EDA Revolving Loan;Boonslick Regional Planning Commission;Up to $150,000;Small and medium-sized firms;Contact provider;Missouri (MO);Loan - Revolving Loan Fund;Not specified;(636) 456-3473;http://boonslick.org/programs/;65069, 63389, 63390, 63333, 63343, 63347, 63349, 63350, 63351, 63357, 63361, 63362, 63363, 63369, 63377, 63379, 63381, 63383, 63384, 63370, 63387
Microenterprise Loan;Boonslick Regional Planning Commission;Up to $25,000;Entrepreneurs and small businesses in Lincoln, Montgomery, and Warren counties;Contact provider;Missouri (MO);Loan - Microloan;Not specified;(636) 456-3473;http://boonslick.org/programs/;65069, 63389, 63390, 63333, 63343, 63347, 63349, 63350, 63351, 63357, 63361, 63362, 63363, 63369, 63377, 63379, 63381, 63383, 63384, 63370, 63387
Regional Revolving Loan Trust Fund (RRLTF);Central New York Regional Planning & Development Board;Up to $100,000;"Small businesses with priority given to projects that create or retain jobs; are located in distressed areas; are owned by minority or women entrepreneurs or employ minorities, women, or displaced workers; leverage other public and or private dollars";Working capital;New York (NY);Loan - Revolving Loan Fund;Minorities, Women;(315) 422-9276;https://esd.ny.gov/regional-revolving-loan-trust-fund-program;13021, 13020, 13024, 13026, 13027, 13028, 13029, 13030, 13031, 13032, 13033, 13034, 13035, 13036, 13037, 13039, 13040, 13041, 13044, 13045, 13784, 13057, 13060, 13803, 13051, 13863, 13332, 13334, 13346, 13355, 13402, 13364, 13061, 13063, 13064, 13066, 13069, 13071, 13072, 13074, 13076, 13077, 13078, 13080, 13081, 13082, 13083, 13084, 13087, 13088, 13090, 13092, 13101, 13104, 13108, 13110, 13111, 13103, 13112, 13114, 13115, 13116, 13118, 13120, 13122, 13126, 13131, 13132, 13135, 13138, 13140, 13141, 13142, 13144, 13117, 13113, 13134, 13145, 13147, 13152, 13153, 13156, 13158, 13159, 13160, 13163, 13164, 13166, 13167, 13202, 13203, 13204, 13205, 13206, 13207, 13208, 13209, 13210, 13211, 13212, 13214, 13215, 13219, 13224, 13302, 13310, 13314, 13290, 13408, 13409, 13421, 13418, 13437, 13485, 13493, 13484
Revolving Loan Fund;Central Oklahoma Economic Development District;Up to $150,000;Small and expanding businesses, nonprofits, government entities, projects that have job creation and need hard assets;Real estate, fixed assets, working capital;Oklahoma (OK);Loan - Revolving Loan Fund;Not specified;(405) 273-6410;https://www.coedd.net/community-development.html;73027, 74531, 74848, 74849, 74851, 74852, 74854, 74855, 74859, 74860, 74864, 74867, 74868, 74873, 74875, 74878, 74880, 74881, 74883, 74884, 74869, 74850, 74074, 74075, 74078, 74079, 74081, 74085, 74570, 74650, 74801, 74804, 74824, 74826, 74829, 74830, 74832, 74833, 74834, 74839, 74840, 74827, 74837, 73061, 74020, 74023, 74026, 74032, 74045, 74034, 74058, 74059, 74062
